
New Run at  02/16/2015 22:41:46
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241247600,2381974.0;85871.0;2230695.0;97478.0;2261154.0;101022.0;2397641.0;124495.0;1.2121515256;1.23929962069;1.44031753932,9639.0 153.0 109536;5803.0 196.0 109542;55206.0 2392.0 109510;3324.0 60.0 109543;3520.0 115.0 109544;3402.0 159.0 109417;2150.0 68.0 109546;3334.0 139.0 109547;2588.0 54.0 109548;1873.0 41.0 109550;1685.0 47.0 109552;276756.0 9722.0 109524;6228.0 304.0 109525;3325.0 78.0 109545;4981.0 132.0 109529;4864.0 162.0 109530;3583.0 100.0 109531;3539.0 54.0 109533;3680.0 161.0 109534,109536.0 6125;109542.0 6125;109510.0 6125;109543.0 6125;109544.0 6125;109417.0 6125;109546.0 6125;109547.0 6125;109548.0 6125;109550.0 6125;109552.0 6125;109524.0 6125;109525.0 6125;109545.0 6125;109529.0 6125;109530.0 6125;109531.0 6125;109533.0 6125;109534.0 6125,109536 316;109542 311;109510 330;109543 330;109544 311;109417 327;109546 317;109547 336;109548 308;109550 302;109552 314;109524 313;109525 293;109545 341;109529 323;109530 319;109531 363;109533 337;109534 334
data,1241248500,2383046.0;85901.0;2231023.0;97485.0;2262185.0;101056.0;2398669.0;124527.0;1.21218234537;1.23927643509;1.44021526305,9657.0 153.0 109536;55218.0 2392.0 109510;5816.0 196.0 109542;3338.0 61.0 109543;3543.0 115.0 109544;3347.0 78.0 109545;2171.0 68.0 109546;3349.0 140.0 109547;2610.0 54.0 109548;1898.0 41.0 109550;1702.0 47.0 109552;276776.0 9724.0 109524;6243.0 304.0 109525;3416.0 159.0 109417;4994.0 132.0 109529;4887.0 163.0 109530;3596.0 100.0 109531;3553.0 55.0 109533;3694.0 162.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1066;109510 1043;109542 1071;109543 1083;109544 1156;109545 1058;109546 1033;109547 987;109548 1097;109550 1083;109552 1089;109524 1050;109525 1020;109417 972;109529 1040;109530 1064;109531 1048;109533 1023;109534 1017
data,1241249400,2384141.0;85923.0;2231316.0;97491.0;2263235.0;101088.0;2399728.0;124552.0;1.21234423004;1.23934568171;1.44016148144,9675.0 153.0 109536;55237.0 2394.0 109510;5832.0 197.0 109542;3350.0 61.0 109543;3558.0 116.0 109544;3427.0 160.0 109417;2188.0 68.0 109546;3371.0 140.0 109547;2623.0 54.0 109548;1910.0 41.0 109550;1717.0 47.0 109552;276794.0 9724.0 109524;6259.0 304.0 109525;3364.0 78.0 109545;5005.0 132.0 109529;4902.0 164.0 109530;3609.0 100.0 109531;3570.0 55.0 109533;3710.0 162.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1093;109510 1089;109542 1047;109543 1011;109544 1045;109417 1048;109546 1093;109547 1119;109548 1031;109550 1042;109552 1035;109524 1046;109525 1013;109545 1011;109529 1033;109530 1062;109531 1027;109533 1035;109534 1120
data,1241250300,2385172.0;85949.0;2231677.0;97501.0;2264284.0;101109.0;2400786.0;124584.0;1.21242981259;1.23918969064;1.44008356839,9695.0 154.0 109536;5854.0 197.0 109542;55250.0 2394.0 109510;3366.0 61.0 109543;3573.0 116.0 109544;3389.0 78.0 109545;2211.0 70.0 109546;3394.0 141.0 109547;2635.0 54.0 109548;1929.0 42.0 109550;1733.0 47.0 109552;276817.0 9724.0 109524;6282.0 305.0 109525;3447.0 161.0 109417;5016.0 132.0 109529;4918.0 164.0 109530;3635.0 101.0 109531;3595.0 56.0 109533;3723.0 163.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1045;109542 1093;109510 1064;109543 1010;109544 1054;109545 1050;109546 1084;109547 1052;109548 989;109550 1078;109552 1021;109524 1018;109525 1029;109417 1113;109529 1030;109530 1081;109531 1091;109533 1058;109534 1040
data,1241251200,2386212.0;85977.0;2232026.0;97507.0;2265360.0;101126.0;2401865.0;124623.0;1.21244845288;1.23894589092;1.44004593709,9713.0 154.0 109536;5880.0 197.0 109542;55265.0 2394.0 109510;3384.0 61.0 109543;3590.0 116.0 109544;3463.0 161.0 109417;2226.0 70.0 109546;3408.0 143.0 109547;2651.0 54.0 109548;1941.0 42.0 109550;1749.0 47.0 109552;276837.0 9724.0 109524;6301.0 305.0 109525;3411.0 80.0 109545;5037.0 132.0 109529;4932.0 164.0 109530;3656.0 102.0 109531;3618.0 56.0 109533;3749.0 164.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1079;109542 1045;109510 1018;109543 1055;109544 1041;109417 1020;109546 1068;109547 1031;109548 1084;109550 1006;109552 1048;109524 1121;109525 1080;109545 1056;109529 1047;109530 1033;109531 1059;109533 1072;109534 1037
data,1241252100,2387246.0;86002.0;2232346.0;97515.0;2266358.0;101145.0;2402918.0;124653.0;1.2125468841;1.23880950467;1.4399665633,9738.0 154.0 109536;5901.0 197.0 109542;55287.0 2394.0 109510;3398.0 62.0 109543;3607.0 116.0 109544;3431.0 80.0 109545;2242.0 70.0 109546;3418.0 144.0 109547;2673.0 54.0 109548;1952.0 42.0 109550;1767.0 48.0 109552;276843.0 9724.0 109524;6317.0 307.0 109525;3476.0 161.0 109417;5058.0 132.0 109529;4949.0 165.0 109530;3674.0 103.0 109531;3638.0 57.0 109533;3762.0 164.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1008;109542 1004;109510 1055;109543 1054;109544 1018;109545 1124;109546 1073;109547 1054;109548 1045;109550 1072;109552 1050;109524 1065;109525 1042;109417 1037;109529 1097;109530 1049;109531 1061;109533 1073;109534 1019
data,1241253000,2388285.0;86032.0;2232616.0;97522.0;2267470.0;101170.0;2404016.0;124690.0;1.21259199916;1.23861499122;1.43986045099,9756.0 154.0 109536;5914.0 197.0 109542;55307.0 2396.0 109510;3410.0 62.0 109543;3623.0 116.0 109544;3445.0 80.0 109545;2261.0 70.0 109546;3436.0 145.0 109547;2689.0 54.0 109548;1964.0 43.0 109550;1776.0 48.0 109552;276857.0 9724.0 109524;6331.0 307.0 109525;3487.0 161.0 109417;5069.0 132.0 109529;4964.0 166.0 109530;3689.0 104.0 109531;3647.0 58.0 109533;3776.0 164.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1047;109542 1052;109510 1055;109543 1093;109544 1070;109545 1061;109546 1067;109547 1062;109548 998;109550 1013;109552 1000;109524 1057;109525 1088;109417 1038;109529 1025;109530 1075;109531 1080;109533 1049;109534 1070
data,1241254200,2389335.0;86051.0;2232920.0;97528.0;2268565.0;101191.0;2405094.0;124720.0;1.21276673965;1.23854498059;1.43987625739,9769.0 155.0 109536;5932.0 197.0 109542;55328.0 2396.0 109510;3425.0 62.0 109543;3643.0 116.0 109544;3460.0 80.0 109545;2275.0 70.0 109546;3448.0 145.0 109547;2696.0 54.0 109548;1980.0 43.0 109550;1793.0 49.0 109552;276870.0 9724.0 109524;6344.0 308.0 109525;3511.0 162.0 109417;5085.0 132.0 109529;4986.0 166.0 109530;3703.0 106.0 109531;3663.0 58.0 109533;3794.0 164.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1067;109542 1078;109510 1050;109543 1069;109544 1047;109545 1008;109546 1032;109547 1055;109548 1052;109550 1058;109552 1037;109524 1047;109525 1108;109417 1070;109529 1088;109530 1006;109531 1016;109533 1042;109534 1070
data,1241255100,2390411.0;86071.0;2233242.0;97537.0;2269630.0;101212.0;2406136.0;124752.0;1.21296798026;1.23849048214;1.43993562237,9780.0 155.0 109536;5952.0 197.0 109542;55343.0 2396.0 109510;3439.0 63.0 109543;3659.0 117.0 109544;3533.0 162.0 109417;2290.0 70.0 109546;3464.0 145.0 109547;2710.0 54.0 109548;1997.0 43.0 109550;1805.0 49.0 109552;276895.0 9726.0 109524;6359.0 308.0 109525;3474.0 80.0 109545;5099.0 132.0 109529;5011.0 167.0 109530;3718.0 109.0 109531;3684.0 58.0 109533;3815.0 165.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1053;109542 1065;109510 1109;109543 1026;109544 1066;109417 1059;109546 1057;109547 1091;109548 1026;109550 1045;109552 1049;109524 1091;109525 1025;109545 1079;109529 979;109530 1062;109531 1022;109533 1055;109534 1041
data,1241256300,2391448.0;86089.0;2233581.0;97546.0;2270730.0;101239.0;2407228.0;124777.0;1.21316825468;1.23849890744;1.43989423276,9805.0 156.0 109536;55363.0 2396.0 109510;5966.0 197.0 109542;3456.0 64.0 109543;3677.0 118.0 109544;3549.0 162.0 109417;2305.0 70.0 109546;3485.0 145.0 109547;2721.0 54.0 109548;2005.0 43.0 109550;1821.0 51.0 109552;276919.0 9726.0 109524;6380.0 308.0 109525;3492.0 80.0 109545;5119.0 133.0 109529;5036.0 168.0 109530;3732.0 110.0 109531;3704.0 59.0 109533;3831.0 165.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1057;109510 1056;109542 1095;109543 1054;109544 1060;109417 1079;109546 1036;109547 1034;109548 1030;109550 1048;109552 1057;109524 1081;109525 1090;109545 1075;109529 1010;109530 1034;109531 985;109533 1098;109534 1021
