data,1241394900,129826.0;4101.0;130681.0;3862.0;0.935560177279,11.0 0.0 109569;12.0 0.0 109572;39288.0 1515.0 109573;15.0 0.0 109574;11.0 0.0 109575;17.0 0.0 109576;8.0 0.0 109577;17.0 0.0 109578;14.0 0.0 109579;11.0 0.0 109580;4.0 0.0 109581;7.0 0.0 109582;1.0 0.0 109583;0.0 0.0 109585;0.0 0.0 109586;22.0 0.0 109476;10.0 0.0 109517;20.0 0.0 109524;11.0 0.0 109536;8.0 0.0 109539;23.0 0.0 109551;17381.0 594.0 109561,109569.0 4256;109572.0 4256;109573.0 4256;109574.0 4256;109575.0 4256;109576.0 4256;109577.0 4256;109578.0 4256;109579.0 4256;109580.0 4256;109581.0 4256;109582.0 4256;109583.0 4256;109585.0 4256;109586.0 4256;109476.0 4256;109517.0 4256;109524.0 4256;109536.0 4256;109539.0 4256;109551.0 4256;109561.0 4256,109569 208;109572 234;109573 188;109574 194;109575 196;109576 194;109577 171;109578 198;109579 177;109580 206;109581 181;109582 188;109583 196;109585 185;109586 194;109476 189;109517 178;109524 198;109536 197;109539 196;109551 196;109561 192
data,1241394900,130528.0;4124.0;131442.0;3875.0;0.933087937751,11.0 0.0 109569;12.0 0.0 109572;39288.0 1515.0 109573;15.0 0.0 109574;12.0 0.0 109575;17.0 0.0 109576;8.0 0.0 109577;17.0 0.0 109578;15.0 0.0 109579;11.0 0.0 109580;5.0 0.0 109581;7.0 0.0 109582;1.0 0.0 109583;0.0 0.0 109585;753.0 13.0 109586;24.0 0.0 109476;11.0 0.0 109517;21.0 0.0 109524;12.0 0.0 109536;8.0 0.0 109539;23.0 0.0 109551;17381.0 594.0 109561,109569.0 15744;109572.0 15744;109573.0 15744;109574.0 15744;109575.0 15744;109576.0 15744;109577.0 15744;109578.0 15744;109579.0 15744;109580.0 15744;109581.0 15744;109582.0 15744;109583.0 15744;109585.0 15744;109586.0 15744;109476.0 15744;109517.0 15744;109524.0 15744;109536.0 15744;109539.0 15744;109551.0 15744;109561.0 15744,109569 702;109572 729;109573 752;109574 638;109575 724;109576 698;109577 689;109578 696;109579 750;109580 700;109581 709;109582 717;109583 757;109585 705;109586 754;109476 670;109517 731;109524 739;109536 703;109539 698;109551 765;109561 718
data,1241395500,131407.0;4155.0;132333.0;3888.0;0.929192232231,11.0 0.0 109569;12.0 0.0 109572;39288.0 1515.0 109573;15.0 0.0 109574;12.0 0.0 109575;17.0 0.0 109576;8.0 0.0 109577;17.0 0.0 109578;15.0 0.0 109579;11.0 0.0 109580;5.0 0.0 109581;7.0 0.0 109582;1.0 0.0 109583;0.0 0.0 109585;1644.0 26.0 109586;24.0 0.0 109476;11.0 0.0 109517;21.0 0.0 109524;12.0 0.0 109536;8.0 0.0 109539;23.0 0.0 109551;17381.0 594.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 978;109572 853;109573 974;109574 886;109575 903;109576 894;109577 846;109578 947;109579 887;109580 947;109581 906;109582 919;109583 905;109585 897;109586 891;109476 884;109517 865;109524 906;109536 892;109539 945;109551 952;109561 923
data,1241395800,132309.0;4195.0;133240.0;3906.0;0.924602443403,11.0 0.0 109569;12.0 0.0 109572;39288.0 1515.0 109573;15.0 0.0 109574;12.0 0.0 109575;17.0 0.0 109576;8.0 0.0 109577;17.0 0.0 109578;15.0 0.0 109579;11.0 0.0 109580;5.0 0.0 109581;7.0 0.0 109582;1.0 0.0 109583;0.0 0.0 109585;2551.0 44.0 109586;24.0 0.0 109476;11.0 0.0 109517;21.0 0.0 109524;12.0 0.0 109536;8.0 0.0 109539;23.0 0.0 109551;17381.0 594.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 931;109572 929;109573 886;109574 904;109575 889;109576 936;109577 950;109578 904;109579 971;109580 858;109581 891;109582 936;109583 925;109585 864;109586 907;109476 884;109517 994;109524 894;109536 872;109539 866;109551 920;109561 889
data,1241396100,133231.0;4228.0;134120.0;3919.0;0.920771837714,11.0 0.0 109569;12.0 0.0 109572;39288.0 1515.0 109573;15.0 0.0 109574;12.0 0.0 109575;17.0 0.0 109576;8.0 0.0 109577;17.0 0.0 109578;15.0 0.0 109579;11.0 0.0 109580;5.0 0.0 109581;7.0 0.0 109582;1.0 0.0 109583;0.0 0.0 109585;3431.0 57.0 109586;24.0 0.0 109476;11.0 0.0 109517;21.0 0.0 109524;12.0 0.0 109536;8.0 0.0 109539;23.0 0.0 109551;17381.0 594.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 856;109572 965;109573 924;109574 891;109575 944;109576 915;109577 882;109578 911;109579 941;109580 1016;109581 913;109582 918;109583 877;109585 904;109586 880;109476 884;109517 897;109524 890;109536 879;109539 872;109551 887;109561 954
data,1241396400,134167.0;4261.0;134996.0;3933.0;0.917354553167,11.0 0.0 109569;12.0 0.0 109572;39288.0 1515.0 109573;15.0 0.0 109574;12.0 0.0 109575;17.0 0.0 109576;8.0 0.0 109577;17.0 0.0 109578;15.0 0.0 109579;11.0 0.0 109580;5.0 0.0 109581;7.0 0.0 109582;1.0 0.0 109583;0.0 0.0 109585;4307.0 71.0 109586;24.0 0.0 109476;11.0 0.0 109517;21.0 0.0 109524;12.0 0.0 109536;8.0 0.0 109539;23.0 0.0 109551;17381.0 594.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 873;109572 910;109573 901;109574 905;109575 911;109576 854;109577 844;109578 932;109579 892;109580 935;109581 889;109582 953;109583 940;109585 904;109586 876;109476 908;109517 936;109524 894;109536 918;109539 972;109551 960;109561 893
data,1241396700,135075.0;4286.0;135830.0;3942.0;0.914626391468,11.0 0.0 109569;12.0 0.0 109572;39288.0 1515.0 109573;15.0 0.0 109574;12.0 0.0 109575;17.0 0.0 109576;8.0 0.0 109577;17.0 0.0 109578;15.0 0.0 109579;11.0 0.0 109580;5.0 0.0 109581;7.0 0.0 109582;1.0 0.0 109583;0.0 0.0 109585;5141.0 80.0 109586;24.0 0.0 109476;11.0 0.0 109517;21.0 0.0 109524;12.0 0.0 109536;8.0 0.0 109539;23.0 0.0 109551;17381.0 594.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 868;109572 926;109573 930;109574 896;109575 962;109576 898;109577 919;109578 907;109579 926;109580 836;109581 857;109582 912;109583 924;109585 956;109586 834;109476 977;109517 964;109524 908;109536 882;109539 884;109551 908;109561 926
data,1241397000,136038.0;4316.0;136713.0;3957.0;0.912294463401,11.0 0.0 109569;12.0 0.0 109572;39288.0 1515.0 109573;15.0 0.0 109574;12.0 0.0 109575;17.0 0.0 109576;8.0 0.0 109577;17.0 0.0 109578;15.0 0.0 109579;11.0 0.0 109580;5.0 0.0 109581;7.0 0.0 109582;1.0 0.0 109583;0.0 0.0 109585;6024.0 95.0 109586;24.0 0.0 109476;11.0 0.0 109517;21.0 0.0 109524;12.0 0.0 109536;8.0 0.0 109539;23.0 0.0 109551;17381.0 594.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 879;109572 959;109573 920;109574 867;109575 907;109576 916;109577 898;109578 949;109579 959;109580 930;109581 835;109582 945;109583 909;109585 931;109586 883;109476 913;109517 903;109524 885;109536 892;109539 873;109551 912;109561 935
data,1241397300,136930.0;4338.0;137581.0;3971.0;0.911067355672,11.0 0.0 109569;12.0 0.0 109572;39288.0 1515.0 109573;15.0 0.0 109574;12.0 0.0 109575;17.0 0.0 109576;8.0 0.0 109577;17.0 0.0 109578;15.0 0.0 109579;11.0 0.0 109580;5.0 0.0 109581;7.0 0.0 109582;1.0 0.0 109583;0.0 0.0 109585;6892.0 109.0 109586;24.0 0.0 109476;11.0 0.0 109517;21.0 0.0 109524;12.0 0.0 109536;8.0 0.0 109539;23.0 0.0 109551;17381.0 594.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 907;109572 936;109573 924;109574 867;109575 891;109576 911;109577 900;109578 911;109579 962;109580 999;109581 925;109582 862;109583 895;109585 893;109586 868;109476 941;109517 853;109524 934;109536 922;109539 866;109551 950;109561 883
data,1241397600,137834.0;4369.0;138525.0;3977.0;0.905736244708,11.0 0.0 109569;12.0 0.0 109572;39288.0 1515.0 109573;15.0 0.0 109574;12.0 0.0 109575;17.0 0.0 109576;8.0 0.0 109577;17.0 0.0 109578;15.0 0.0 109579;11.0 0.0 109580;5.0 0.0 109581;7.0 0.0 109582;1.0 0.0 109583;0.0 0.0 109585;7836.0 115.0 109586;24.0 0.0 109476;11.0 0.0 109517;21.0 0.0 109524;12.0 0.0 109536;8.0 0.0 109539;23.0 0.0 109551;17381.0 594.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 926;109572 879;109573 905;109574 943;109575 867;109576 870;109577 897;109578 936;109579 958;109580 923;109581 856;109582 940;109583 943;109585 863;109586 944;109476 921;109517 914;109524 937;109536 912;109539 868;109551 903;109561 895
data,1241397900,138763.0;4404.0;139429.0;3991.0;0.901892936188,11.0 0.0 109569;12.0 0.0 109572;39288.0 1515.0 109573;15.0 0.0 109574;12.0 0.0 109575;17.0 0.0 109576;8.0 0.0 109577;17.0 0.0 109578;15.0 0.0 109579;11.0 0.0 109580;5.0 0.0 109581;7.0 0.0 109582;1.0 0.0 109583;0.0 0.0 109585;8740.0 129.0 109586;24.0 0.0 109476;11.0 0.0 109517;21.0 0.0 109524;12.0 0.0 109536;8.0 0.0 109539;23.0 0.0 109551;17381.0 594.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 886;109572 958;109573 942;109574 852;109575 937;109576 901;109577 885;109578 917;109579 932;109580 911;109581 958;109582 865;109583 967;109585 882;109586 904;109476 946;109517 858;109524 926;109536 861;109539 867;109551 930;109561 915
