data,1241349900,17315.0;383.0;17280.0;214.0;0.559878457112,1.0 0.0 109536;6.0 0.0 109569;3.0 0.0 109571;9.0 0.0 109476;4.0 0.0 109541;2.0 0.0 109568;1.0 0.0 109542;4.0 0.0 109551;1.0 0.0 109553;2.0 0.0 109524;2.0 0.0 109557;1.0 0.0 109560;2.0 0.0 109561;3.0 0.0 109562;4.0 0.0 109563;17223.0 214.0 109564;2.0 0.0 109565;7.0 0.0 109566;3.0 0.0 109567,109536.0 10532;109568.0 10532;109571.0 10532;109476.0 10532;109541.0 10532;109542.0 10532;109569.0 10532;109551.0 10532;109553.0 10532;109524.0 10532;109557.0 10532;109560.0 10532;109561.0 10532;109562.0 10532;109563.0 10532;109564.0 10532;109565.0 10532;109566.0 10532;109567.0 10532,109536 560;109569 503;109571 577;109476 538;109541 580;109568 558;109542 559;109551 582;109553 545;109524 542;109557 552;109560 574;109561 536;109562 527;109563 567;109564 563;109565 570;109566 531;109567 568
data,1241350200,17805.0;393.0;17800.0;225.0;0.572679903937,3.0 0.0 109568;7.0 0.0 109569;4.0 0.0 109571;9.0 0.0 109476;6.0 0.0 109541;4.0 0.0 109542;4.0 0.0 109551;2.0 0.0 109553;5.0 0.0 109524;504.0 11.0 109557;1.0 0.0 109536;1.0 0.0 109560;2.0 0.0 109561;3.0 0.0 109562;6.0 0.0 109563;17226.0 214.0 109564;2.0 0.0 109565;8.0 0.0 109566;3.0 0.0 109567,109536.0 9468;109568.0 9468;109571.0 9468;109476.0 9468;109541.0 9468;109542.0 9468;109569.0 9468;109551.0 9468;109553.0 9468;109524.0 9468;109557.0 9468;109560.0 9468;109561.0 9468;109562.0 9468;109563.0 9468;109564.0 9468;109565.0 9468;109566.0 9468;109567.0 9468,109568 477;109569 498;109571 515;109476 471;109541 449;109542 506;109551 510;109553 452;109524 506;109557 519;109536 522;109560 499;109561 482;109562 501;109563 564;109564 481;109565 516;109566 508;109567 492
data,1241351100,18904.0;419.0;18860.0;243.0;0.581305284258,3.0 0.0 109568;7.0 0.0 109569;4.0 0.0 109571;9.0 0.0 109476;6.0 0.0 109541;4.0 0.0 109542;1.0 0.0 109560;4.0 0.0 109551;2.0 0.0 109553;5.0 0.0 109524;1564.0 29.0 109557;1.0 0.0 109536;2.0 0.0 109561;3.0 0.0 109562;6.0 0.0 109563;17226.0 214.0 109564;2.0 0.0 109565;8.0 0.0 109566;3.0 0.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1050;109569 1070;109571 1029;109476 996;109541 1090;109542 1056;109560 1060;109551 1058;109553 1065;109524 1031;109557 1060;109536 1023;109561 1057;109562 1049;109563 1040;109564 1066;109565 1082;109566 1005;109567 1113
data,1241351700,19996.0;453.0;19926.0;266.0;0.589259288063,1.0 0.0 109536;3.0 0.0 109568;4.0 0.0 109571;9.0 0.0 109476;6.0 0.0 109541;4.0 0.0 109542;7.0 0.0 109569;4.0 0.0 109551;2.0 0.0 109553;5.0 0.0 109524;2630.0 52.0 109557;1.0 0.0 109560;2.0 0.0 109561;3.0 0.0 109562;6.0 0.0 109563;17226.0 214.0 109564;2.0 0.0 109565;8.0 0.0 109566;3.0 0.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1015;109568 1050;109571 1018;109476 1100;109541 1074;109542 1063;109569 1048;109551 1014;109553 1046;109524 1077;109557 1066;109560 1029;109561 1089;109562 1048;109563 1066;109564 1011;109565 1004;109566 1119;109567 1063
data,1241352300,21037.0;489.0;20997.0;296.0;0.606470122862,3.0 0.0 109568;7.0 0.0 109569;4.0 0.0 109571;9.0 0.0 109476;6.0 0.0 109541;4.0 0.0 109542;4.0 0.0 109551;2.0 0.0 109553;5.0 0.0 109524;3701.0 82.0 109557;1.0 0.0 109536;1.0 0.0 109560;2.0 0.0 109561;3.0 0.0 109562;6.0 0.0 109563;17226.0 214.0 109564;2.0 0.0 109565;8.0 0.0 109566;3.0 0.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1015;109569 1013;109571 1024;109476 1040;109541 1035;109542 1064;109551 1077;109553 1077;109524 1021;109557 1071;109536 1057;109560 1047;109561 1069;109562 1054;109563 1129;109564 1097;109565 1051;109566 1034;109567 1025
data,1241352900,22123.0;517.0;22048.0;315.0;0.611356916367,1.0 0.0 109536;7.0 0.0 109569;4.0 0.0 109571;9.0 0.0 109476;6.0 0.0 109541;4.0 0.0 109542;3.0 0.0 109568;4.0 0.0 109551;2.0 0.0 109553;5.0 0.0 109524;4752.0 101.0 109557;1.0 0.0 109560;2.0 0.0 109561;3.0 0.0 109562;6.0 0.0 109563;17226.0 214.0 109564;2.0 0.0 109565;8.0 0.0 109566;3.0 0.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 984;109569 1071;109571 1015;109476 1086;109541 1021;109542 1062;109568 1022;109551 1035;109553 1048;109524 1036;109557 1051;109560 1118;109561 1051;109562 1094;109563 1084;109564 1100;109565 1070;109566 1011;109567 1041
data,1241353500,23202.0;544.0;23088.0;351.0;0.648406448728,3.0 0.0 109568;7.0 0.0 109569;4.0 0.0 109571;9.0 0.0 109476;1.0 0.0 109536;4.0 0.0 109542;4.0 0.0 109551;2.0 0.0 109553;6.0 0.0 109541;5.0 0.0 109524;5792.0 137.0 109557;1.0 0.0 109560;2.0 0.0 109561;3.0 0.0 109562;6.0 0.0 109563;17226.0 214.0 109564;2.0 0.0 109565;8.0 0.0 109566;3.0 0.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1091;109569 1095;109571 1032;109476 1074;109536 1063;109542 1031;109551 1072;109553 986;109541 1104;109524 1088;109557 1040;109560 1054;109561 1045;109562 1086;109563 1059;109564 1037;109565 975;109566 1021;109567 1047
data,1241354100,24276.0;568.0;24080.0;375.0;0.665585080249,3.0 0.0 109568;7.0 0.0 109569;4.0 0.0 109571;9.0 0.0 109476;6.0 0.0 109541;4.0 0.0 109542;1.0 0.0 109560;4.0 0.0 109551;2.0 0.0 109553;5.0 0.0 109524;6784.0 161.0 109557;1.0 0.0 109536;2.0 0.0 109561;3.0 0.0 109562;6.0 0.0 109563;17226.0 214.0 109564;2.0 0.0 109565;8.0 0.0 109566;3.0 0.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1069;109569 1084;109571 1042;109476 1019;109541 1098;109542 1019;109560 1097;109551 1054;109553 1073;109524 1033;109557 992;109536 1072;109561 1016;109562 1007;109563 1075;109564 1068;109565 1023;109566 1079;109567 1080
data,1241354700,25359.0;594.0;25120.0;407.0;0.691704263977,1.0 0.0 109536;7.0 0.0 109569;4.0 0.0 109571;9.0 0.0 109476;6.0 0.0 109541;4.0 0.0 109542;3.0 0.0 109568;4.0 0.0 109551;2.0 0.0 109553;5.0 0.0 109524;7824.0 193.0 109557;1.0 0.0 109560;2.0 0.0 109561;3.0 0.0 109562;6.0 0.0 109563;17226.0 214.0 109564;2.0 0.0 109565;8.0 0.0 109566;3.0 0.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1072;109569 1093;109571 1039;109476 1007;109541 1008;109542 1041;109568 1061;109551 1066;109553 1109;109524 1061;109557 1040;109560 1031;109561 1073;109562 1063;109563 1061;109564 1035;109565 1075;109566 1067;109567 998
data,1241355300,26449.0;630.0;26151.0;427.0;0.685501298017,3.0 0.0 109568;1.0 0.0 109536;4.0 0.0 109571;9.0 0.0 109476;6.0 0.0 109541;4.0 0.0 109542;7.0 0.0 109569;4.0 0.0 109551;2.0 0.0 109553;5.0 0.0 109524;8855.0 213.0 109557;1.0 0.0 109560;2.0 0.0 109561;3.0 0.0 109562;6.0 0.0 109563;17226.0 214.0 109564;2.0 0.0 109565;8.0 0.0 109566;3.0 0.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1006;109536 1054;109571 1081;109476 1035;109541 1029;109542 1043;109569 1057;109551 1046;109553 1148;109524 1052;109557 1031;109560 1063;109561 1037;109562 966;109563 1030;109564 1018;109565 1049;109566 1143;109567 1112
data,1241355600,27503.0;677.0;27226.0;460.0;0.686381218926,3.0 0.0 109568;7.0 0.0 109569;4.0 0.0 109571;9.0 0.0 109476;6.0 0.0 109541;4.0 0.0 109542;4.0 0.0 109551;2.0 0.0 109553;5.0 0.0 109524;9930.0 246.0 109557;1.0 0.0 109536;1.0 0.0 109560;2.0 0.0 109561;3.0 0.0 109562;6.0 0.0 109563;17226.0 214.0 109564;2.0 0.0 109565;8.0 0.0 109566;3.0 0.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1037;109569 1029;109571 1072;109476 1107;109541 1046;109542 1048;109551 1055;109553 1089;109524 1063;109557 1075;109536 1034;109560 1038;109561 1015;109562 1085;109563 1024;109564 1042;109565 1010;109566 1053;109567 1078
