data,1241954400,1597290.0;57102.0;1607358.0;64498.0;1.12244762374,13583.0 382.0 109760;43.0 0.0 109697;11.0 0.0 109762;3.0 0.0 109763;1.0 0.0 109764;5.0 0.0 109766;14358.0 426.0 109767;0.0 0.0 109769;15447.0 393.0 109761;3.0 0.0 109740;12.0 0.0 109741;30.0 0.0 109745;0.0 0.0 109731;13984.0 636.0 109684;13854.0 590.0 109755;13616.0 532.0 109686;21.0 0.0 109752;39.0 0.0 109723;13481.0 407.0 109756;9.0 0.0 109758,109760.0 6892;109697.0 6892;109762.0 6892;109731.0 6892;109764.0 6892;109766.0 6892;109767.0 6892;109769.0 6892;109761.0 6892;109740.0 6892;109741.0 6892;109745.0 6892;109763.0 6892;109684.0 6892;109755.0 6892;109686.0 6892;109752.0 6892;109723.0 6892;109756.0 6892;109758.0 6892,109760 328;109697 332;109762 352;109763 370;109764 363;109766 371;109767 366;109769 368;109761 336;109740 344;109741 352;109745 343;109731 340;109684 360;109755 313;109686 341;109752 331;109723 304;109756 312;109758 366
data,1241955000,1597919.0;57120.0;1608005.0;64530.0;1.12264082733,13583.0 382.0 109760;15449.0 393.0 109761;13.0 0.0 109762;1.0 0.0 109731;3.0 0.0 109764;5.0 0.0 109766;14358.0 426.0 109767;43.0 0.0 109697;0.0 0.0 109769;635.0 32.0 109740;13.0 0.0 109741;40.0 0.0 109723;31.0 0.0 109745;3.0 0.0 109763;13984.0 636.0 109684;13616.0 532.0 109686;21.0 0.0 109752;13856.0 590.0 109755;13482.0 407.0 109756;11.0 0.0 109758,109760.0 13108;109697.0 13108;109762.0 13108;109731.0 13108;109764.0 13108;109766.0 13108;109767.0 13108;109769.0 13108;109761.0 13108;109740.0 13108;109741.0 13108;109745.0 13108;109763.0 13108;109684.0 13108;109755.0 13108;109686.0 13108;109752.0 13108;109723.0 13108;109756.0 13108;109758.0 13108,109760 651;109761 631;109762 671;109731 640;109764 623;109766 655;109767 673;109697 649;109769 623;109740 641;109741 686;109723 655;109745 686;109763 680;109684 658;109686 623;109752 677;109755 689;109756 646;109758 651
data,1241955900,1598865.0;57149.0;1609020.0;64569.0;1.12270531398,13583.0 382.0 109760;43.0 0.0 109697;13.0 0.0 109762;1.0 0.0 109731;3.0 0.0 109764;5.0 0.0 109766;14358.0 426.0 109767;0.0 0.0 109769;15449.0 393.0 109761;1650.0 71.0 109740;13.0 0.0 109741;40.0 0.0 109723;31.0 0.0 109745;3.0 0.0 109763;13984.0 636.0 109684;13616.0 532.0 109686;21.0 0.0 109752;13856.0 590.0 109755;13482.0 407.0 109756;11.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1040;109697 974;109762 980;109731 1021;109764 1047;109766 1029;109767 963;109769 970;109761 1026;109740 1015;109741 1054;109723 1001;109745 1015;109763 970;109684 975;109686 997;109752 1005;109755 965;109756 1011;109758 942
data,1241956500,1599865.0;57190.0;1610070.0;64609.0;1.12256501235,13583.0 382.0 109760;15449.0 393.0 109761;13.0 0.0 109762;1.0 0.0 109731;3.0 0.0 109764;5.0 0.0 109766;14358.0 426.0 109767;43.0 0.0 109697;0.0 0.0 109769;2700.0 111.0 109740;13.0 0.0 109741;31.0 0.0 109745;3.0 0.0 109763;13984.0 636.0 109684;13856.0 590.0 109755;13616.0 532.0 109686;21.0 0.0 109752;40.0 0.0 109723;13482.0 407.0 109756;11.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1023;109761 976;109762 986;109731 982;109764 971;109766 1022;109767 1013;109697 1017;109769 998;109740 1050;109741 960;109745 1000;109763 989;109684 1024;109755 984;109686 971;109752 992;109723 1029;109756 977;109758 1036
data,1241957100,1600879.0;57220.0;1611053.0;64648.0;1.12267982947,13583.0 382.0 109760;43.0 0.0 109697;13.0 0.0 109762;1.0 0.0 109731;3.0 0.0 109764;5.0 0.0 109766;14358.0 426.0 109767;0.0 0.0 109769;15449.0 393.0 109761;3683.0 150.0 109740;13.0 0.0 109741;31.0 0.0 109745;3.0 0.0 109763;13984.0 636.0 109684;13856.0 590.0 109755;13616.0 532.0 109686;21.0 0.0 109752;40.0 0.0 109723;13482.0 407.0 109756;11.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1019;109697 1031;109762 1019;109731 968;109764 940;109766 1017;109767 955;109769 1040;109761 1053;109740 983;109741 1003;109745 993;109763 961;109684 1040;109755 980;109686 966;109752 1074;109723 1000;109756 964;109758 994
data,1241957700,1601866.0;57252.0;1612051.0;64688.0;1.12274328821,13583.0 382.0 109760;43.0 0.0 109697;13.0 0.0 109762;40.0 0.0 109723;3.0 0.0 109764;1.0 0.0 109731;5.0 0.0 109766;15449.0 393.0 109761;0.0 0.0 109769;14358.0 426.0 109767;4681.0 190.0 109740;13.0 0.0 109741;31.0 0.0 109745;3.0 0.0 109763;13984.0 636.0 109684;13616.0 532.0 109686;21.0 0.0 109752;13856.0 590.0 109755;13482.0 407.0 109756;11.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 991;109697 956;109762 1036;109723 1031;109764 960;109731 1039;109766 1027;109761 951;109769 995;109767 1024;109740 998;109741 944;109745 976;109763 1009;109684 1031;109686 1041;109752 989;109755 953;109756 1005;109758 1044
data,1241958300,1602853.0;57291.0;1613032.0;64733.0;1.1227680429,13583.0 382.0 109760;43.0 0.0 109697;13.0 0.0 109762;1.0 0.0 109731;3.0 0.0 109764;5.0 0.0 109766;14358.0 426.0 109767;0.0 0.0 109769;15449.0 393.0 109761;5662.0 235.0 109740;13.0 0.0 109741;40.0 0.0 109723;31.0 0.0 109745;3.0 0.0 109763;13984.0 636.0 109684;13616.0 532.0 109686;21.0 0.0 109752;13856.0 590.0 109755;13482.0 407.0 109756;11.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 994;109697 1063;109762 1004;109731 995;109764 962;109766 995;109767 1023;109769 1045;109761 999;109740 981;109741 1012;109723 990;109745 1035;109763 1033;109684 1003;109686 964;109752 960;109755 945;109756 994;109758 1003
data,1241958900,1603809.0;57316.0;1614022.0;64774.0;1.12296970212,13583.0 382.0 109760;15449.0 393.0 109761;13.0 0.0 109762;3.0 0.0 109763;3.0 0.0 109764;5.0 0.0 109766;43.0 0.0 109697;0.0 0.0 109769;14358.0 426.0 109767;6652.0 276.0 109740;13.0 0.0 109741;40.0 0.0 109723;31.0 0.0 109745;1.0 0.0 109731;13984.0 636.0 109684;13616.0 532.0 109686;21.0 0.0 109752;13856.0 590.0 109755;13482.0 407.0 109756;11.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1001;109761 997;109762 1017;109763 1019;109764 1022;109766 1010;109697 1038;109769 1008;109767 980;109740 990;109741 1029;109723 1012;109745 918;109731 964;109684 1039;109686 1017;109752 960;109755 957;109756 973;109758 1049
data,1241959500,1604789.0;57342.0;1615019.0;64820.0;1.12325017038,13583.0 382.0 109760;15449.0 393.0 109761;13.0 0.0 109762;13856.0 590.0 109755;3.0 0.0 109764;5.0 0.0 109766;14358.0 426.0 109767;43.0 0.0 109697;0.0 0.0 109769;3.0 0.0 109763;7649.0 322.0 109740;13.0 0.0 109741;31.0 0.0 109745;1.0 0.0 109731;13984.0 636.0 109684;13616.0 532.0 109686;21.0 0.0 109752;40.0 0.0 109723;13482.0 407.0 109756;11.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 997;109761 1012;109762 986;109755 1002;109764 999;109766 961;109767 949;109697 988;109769 1063;109763 993;109740 997;109741 979;109745 1005;109731 978;109684 1038;109686 1032;109752 991;109723 1016;109756 984;109758 1030
data,1241960100,1605772.0;57377.0;1616046.0;64856.0;1.12316221621,13583.0 382.0 109760;15449.0 393.0 109761;13.0 0.0 109762;1.0 0.0 109731;3.0 0.0 109764;5.0 0.0 109766;14358.0 426.0 109767;43.0 0.0 109697;0.0 0.0 109769;8676.0 358.0 109740;13.0 0.0 109741;31.0 0.0 109745;3.0 0.0 109763;13984.0 636.0 109684;13856.0 590.0 109755;13616.0 532.0 109686;21.0 0.0 109752;40.0 0.0 109723;13482.0 407.0 109756;11.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1039;109761 1034;109762 972;109731 943;109764 965;109766 1002;109767 984;109697 1018;109769 1016;109740 1027;109741 976;109745 1013;109763 990;109684 984;109755 1013;109686 1010;109752 983;109723 1000;109756 1004;109758 1027
data,1241960400,1606778.0;57411.0;1617060.0;64897.0;1.12320557865,13583.0 382.0 109760;43.0 0.0 109697;13.0 0.0 109762;1.0 0.0 109731;3.0 0.0 109764;5.0 0.0 109766;15449.0 393.0 109761;0.0 0.0 109769;14358.0 426.0 109767;9690.0 399.0 109740;13.0 0.0 109741;31.0 0.0 109745;3.0 0.0 109763;13984.0 636.0 109684;13856.0 590.0 109755;13616.0 532.0 109686;21.0 0.0 109752;40.0 0.0 109723;13482.0 407.0 109756;11.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 962;109697 969;109762 1042;109731 1045;109764 999;109766 1004;109761 908;109769 985;109767 1023;109740 1014;109741 1019;109745 990;109763 1017;109684 977;109755 977;109686 1021;109752 1006;109723 1026;109756 986;109758 1030
