data,1241394900,130079.0;4177.0;129923.0;3948.0;0.946310846967,7.0 0.0 109569;3.0 0.0 109572;15325.0 566.0 109573;7.0 0.0 109574;1.0 0.0 109575;9.0 0.0 109576;14865.0 546.0 109577;2.0 0.0 109578;2.0 0.0 109579;0.0 0.0 109580;1.0 0.0 109581;1.0 0.0 109582;0.0 0.0 109583;0.0 0.0 109585;0.0 0.0 109586;15035.0 517.0 109476;5.0 0.0 109517;15773.0 588.0 109524;13.0 0.0 109536;3.0 0.0 109539;6.0 0.0 109551;4.0 0.0 109561,109569.0 4256;109572.0 4256;109573.0 4256;109574.0 4256;109575.0 4256;109576.0 4256;109577.0 4256;109578.0 4256;109579.0 4256;109580.0 4256;109581.0 4256;109582.0 4256;109583.0 4256;109585.0 4256;109586.0 4256;109476.0 4256;109517.0 4256;109524.0 4256;109536.0 4256;109539.0 4256;109551.0 4256;109561.0 4256,109569 208;109572 234;109573 188;109574 194;109575 196;109576 194;109577 171;109578 198;109579 177;109580 206;109581 181;109582 188;109583 196;109585 185;109586 194;109476 189;109517 178;109524 198;109536 197;109539 196;109551 196;109561 192
data,1241394900,130807.0;4199.0;130613.0;3970.0;0.946867505724,7.0 0.0 109569;5.0 0.0 109572;15325.0 566.0 109573;9.0 0.0 109574;3.0 0.0 109575;12.0 0.0 109576;14866.0 546.0 109577;668.0 22.0 109578;4.0 0.0 109579;0.0 0.0 109580;3.0 0.0 109581;3.0 0.0 109582;0.0 0.0 109583;0.0 0.0 109585;1.0 0.0 109586;15037.0 517.0 109476;8.0 0.0 109517;15773.0 588.0 109524;13.0 0.0 109536;3.0 0.0 109539;8.0 0.0 109551;4.0 0.0 109561,109569.0 15744;109572.0 15744;109573.0 15744;109574.0 15744;109575.0 15744;109576.0 15744;109577.0 15744;109578.0 15744;109579.0 15744;109580.0 15744;109581.0 15744;109582.0 15744;109583.0 15744;109585.0 15744;109586.0 15744;109476.0 15744;109517.0 15744;109524.0 15744;109536.0 15744;109539.0 15744;109551.0 15744;109561.0 15744,109569 702;109572 729;109573 752;109574 638;109575 724;109576 698;109577 689;109578 696;109579 750;109580 700;109581 709;109582 717;109583 757;109585 705;109586 754;109476 670;109517 731;109524 739;109536 703;109539 698;109551 765;109561 718
data,1241395500,131717.0;4232.0;131560.0;4001.0;0.946544111709,7.0 0.0 109569;5.0 0.0 109572;15325.0 566.0 109573;9.0 0.0 109574;3.0 0.0 109575;12.0 0.0 109576;14866.0 546.0 109577;1615.0 53.0 109578;4.0 0.0 109579;0.0 0.0 109580;3.0 0.0 109581;3.0 0.0 109582;0.0 0.0 109583;0.0 0.0 109585;1.0 0.0 109586;15037.0 517.0 109476;8.0 0.0 109517;15773.0 588.0 109524;13.0 0.0 109536;3.0 0.0 109539;8.0 0.0 109551;4.0 0.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 978;109572 853;109573 974;109574 886;109575 903;109576 894;109577 846;109578 947;109579 887;109580 947;109581 906;109582 919;109583 905;109585 897;109586 891;109476 884;109517 865;109524 906;109536 892;109539 945;109551 952;109561 923
data,1241395800,132622.0;4258.0;132464.0;4026.0;0.946642113626,7.0 0.0 109569;5.0 0.0 109572;15325.0 566.0 109573;9.0 0.0 109574;3.0 0.0 109575;12.0 0.0 109576;14866.0 546.0 109577;2519.0 78.0 109578;4.0 0.0 109579;0.0 0.0 109580;3.0 0.0 109581;3.0 0.0 109582;0.0 0.0 109583;0.0 0.0 109585;1.0 0.0 109586;15037.0 517.0 109476;8.0 0.0 109517;15773.0 588.0 109524;13.0 0.0 109536;3.0 0.0 109539;8.0 0.0 109551;4.0 0.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 931;109572 929;109573 886;109574 904;109575 889;109576 936;109577 950;109578 904;109579 971;109580 858;109581 891;109582 936;109583 925;109585 864;109586 907;109476 884;109517 994;109524 894;109536 872;109539 866;109551 920;109561 889
data,1241396100,133547.0;4290.0;133375.0;4049.0;0.945039994932,7.0 0.0 109569;5.0 0.0 109572;15325.0 566.0 109573;9.0 0.0 109574;3.0 0.0 109575;12.0 0.0 109576;14866.0 546.0 109577;3430.0 101.0 109578;4.0 0.0 109579;0.0 0.0 109580;3.0 0.0 109581;3.0 0.0 109582;0.0 0.0 109583;0.0 0.0 109585;1.0 0.0 109586;15037.0 517.0 109476;8.0 0.0 109517;15773.0 588.0 109524;13.0 0.0 109536;3.0 0.0 109539;8.0 0.0 109551;4.0 0.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 856;109572 965;109573 924;109574 891;109575 944;109576 915;109577 882;109578 911;109579 941;109580 1016;109581 913;109582 918;109583 877;109585 904;109586 880;109476 884;109517 897;109524 890;109536 879;109539 872;109551 887;109561 954
data,1241396400,134465.0;4330.0;134307.0;4068.0;0.94059714386,7.0 0.0 109569;5.0 0.0 109572;15325.0 566.0 109573;9.0 0.0 109574;3.0 0.0 109575;12.0 0.0 109576;14866.0 546.0 109577;4362.0 120.0 109578;4.0 0.0 109579;0.0 0.0 109580;3.0 0.0 109581;3.0 0.0 109582;0.0 0.0 109583;0.0 0.0 109585;1.0 0.0 109586;15037.0 517.0 109476;8.0 0.0 109517;15773.0 588.0 109524;13.0 0.0 109536;3.0 0.0 109539;8.0 0.0 109551;4.0 0.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 873;109572 910;109573 901;109574 905;109575 911;109576 854;109577 844;109578 932;109579 892;109580 935;109581 889;109582 953;109583 940;109585 904;109586 876;109476 908;109517 936;109524 894;109536 918;109539 972;109551 960;109561 893
data,1241396700,135373.0;4360.0;135214.0;4085.0;0.93802835037,7.0 0.0 109569;5.0 0.0 109572;15325.0 566.0 109573;9.0 0.0 109574;3.0 0.0 109575;12.0 0.0 109576;14866.0 546.0 109577;5269.0 137.0 109578;4.0 0.0 109579;0.0 0.0 109580;3.0 0.0 109581;3.0 0.0 109582;0.0 0.0 109583;0.0 0.0 109585;1.0 0.0 109586;15037.0 517.0 109476;8.0 0.0 109517;15773.0 588.0 109524;13.0 0.0 109536;3.0 0.0 109539;8.0 0.0 109551;4.0 0.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 868;109572 926;109573 930;109574 896;109575 962;109576 898;109577 919;109578 907;109579 926;109580 836;109581 857;109582 912;109583 924;109585 956;109586 834;109476 977;109517 964;109524 908;109536 882;109539 884;109551 908;109561 926
data,1241397000,136320.0;4384.0;136163.0;4106.0;0.937667504667,7.0 0.0 109569;5.0 0.0 109572;15325.0 566.0 109573;9.0 0.0 109574;3.0 0.0 109575;12.0 0.0 109576;14866.0 546.0 109577;6218.0 158.0 109578;4.0 0.0 109579;0.0 0.0 109580;3.0 0.0 109581;3.0 0.0 109582;0.0 0.0 109583;0.0 0.0 109585;1.0 0.0 109586;15037.0 517.0 109476;8.0 0.0 109517;15773.0 588.0 109524;13.0 0.0 109536;3.0 0.0 109539;8.0 0.0 109551;4.0 0.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 879;109572 959;109573 920;109574 867;109575 907;109576 916;109577 898;109578 949;109579 959;109580 930;109581 835;109582 945;109583 909;109585 931;109586 883;109476 913;109517 903;109524 885;109536 892;109539 873;109551 912;109561 935
data,1241397300,137242.0;4410.0;137074.0;4129.0;0.937428699734,7.0 0.0 109569;5.0 0.0 109572;15325.0 566.0 109573;9.0 0.0 109574;3.0 0.0 109575;12.0 0.0 109576;14866.0 546.0 109577;7129.0 181.0 109578;4.0 0.0 109579;0.0 0.0 109580;3.0 0.0 109581;3.0 0.0 109582;0.0 0.0 109583;0.0 0.0 109585;1.0 0.0 109586;15037.0 517.0 109476;8.0 0.0 109517;15773.0 588.0 109524;13.0 0.0 109536;3.0 0.0 109539;8.0 0.0 109551;4.0 0.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 907;109572 936;109573 924;109574 867;109575 891;109576 911;109577 900;109578 911;109579 962;109580 999;109581 925;109582 862;109583 895;109585 893;109586 868;109476 941;109517 853;109524 934;109536 922;109539 866;109551 950;109561 883
data,1241397600,138099.0;4446.0;138010.0;4150.0;0.934025248615,7.0 0.0 109569;5.0 0.0 109572;15325.0 566.0 109573;9.0 0.0 109574;3.0 0.0 109575;12.0 0.0 109576;14866.0 546.0 109577;8065.0 202.0 109578;4.0 0.0 109579;0.0 0.0 109580;3.0 0.0 109581;3.0 0.0 109582;0.0 0.0 109583;0.0 0.0 109585;1.0 0.0 109586;15037.0 517.0 109476;8.0 0.0 109517;15773.0 588.0 109524;13.0 0.0 109536;3.0 0.0 109539;8.0 0.0 109551;4.0 0.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 926;109572 879;109573 905;109574 943;109575 867;109576 870;109577 897;109578 936;109579 958;109580 923;109581 856;109582 940;109583 943;109585 863;109586 944;109476 921;109517 914;109524 937;109536 912;109539 868;109551 903;109561 895
data,1241397900,139015.0;4472.0;138927.0;4173.0;0.933730609902,7.0 0.0 109569;5.0 0.0 109572;15325.0 566.0 109573;9.0 0.0 109574;3.0 0.0 109575;12.0 0.0 109576;14866.0 546.0 109577;8982.0 225.0 109578;4.0 0.0 109579;0.0 0.0 109580;3.0 0.0 109581;3.0 0.0 109582;0.0 0.0 109583;0.0 0.0 109585;1.0 0.0 109586;15037.0 517.0 109476;8.0 0.0 109517;15773.0 588.0 109524;13.0 0.0 109536;3.0 0.0 109539;8.0 0.0 109551;4.0 0.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 886;109572 958;109573 942;109574 852;109575 937;109576 901;109577 885;109578 917;109579 932;109580 911;109581 958;109582 865;109583 967;109585 882;109586 904;109476 946;109517 858;109524 926;109536 861;109539 867;109551 930;109561 915
